ITEM_20150317_000001	Empty_Helmet	없음_helmet
ITEM_20150317_000889	Klavis Staff	클라비스 스태프
ITEM_20150317_000890	Tidak ada yang terkenal dengan menggunakan senjata ini, aku harap kamulah yang pertama.	이 장비로 유명해진 사람은 아직 없습니다. 당신이 처음이 되길 바랍니다.
ITEM_20150317_000891	Dio Staff	디오 스태프
ITEM_20150317_000892	Thresh Staff	트레시 스태프
ITEM_20150317_000893	Sestas Staff	세스타스 스태프
ITEM_20150317_000894	Dratt Staff 	드라트 스태프
ITEM_20150317_000895	Aston Staff	아스턴 스태프
ITEM_20150317_000896	Devi Staff 	데비 스태프
ITEM_20150317_000897	Prima Staff	프리마 스태프
ITEM_20150317_000898	Candle Staff	캔들 스태프
ITEM_20150317_000899	Api diujungnya dapat mati, namun tidak pernah terjadi karena bahan bakar yang tak pernah habis.	윗부분의 불은 꺼질 수도 있습니다. 그러나 연소할 물질이 다 타서 그런 경우는 없습니다.
ITEM_20150317_000900	Audra	아우드라
ITEM_20150317_000901	Mereka berkata bahwa Master Cryomancer bercKamu mengenai Master Pyromancer untuk melakukan tantangan dia dengan tongkat menggunakan Ice Magic selama dia dapat membakar tangannya	크리오맨서 마스터는 농담삼아 파이로맨서 마스터에게 이것을 들고 맨손인 자신에게 빙계마법으로 도전하라고 했다는 말이 있습니다.
ITEM_20150317_000902	Sunflower	선플라워
ITEM_20150317_000903	Pada Resep untuk senjata ini, Intruksi tertulis bagaimana cara mendapatkan help of Goddess Saule dan tambahan Goddess Gabija selama proses crafting	이 지팡이의 제조법에는 가비야 여신뿐 아니라 사울레 여신의 도움을 얻는 방법도 기록되어 있습니다.
ITEM_20150317_000904	Maledic	말레딕
ITEM_20150317_000905	Legenda mengatakan tongkat Original Maledic ada di dalam dimensi yang jahat dan satu yang kamu lihat di dunia ini hanyalah Proyeksi Illusi	전설에 의하면 이 지팡이는 마계의 원형이 있다고 합니다. 이 세계에 나타나는 것들은 그 투영에 불과하다고 합니다.
ITEM_20150317_000906	Maledoom	말레둠
ITEM_20150317_000907	Beberapa penyihir telah berhasil crafting beberapa Tongkat Maledoom yang kuat selama mereka bekerja pada tongkat maledic	일부 마법사들이 말레딕의 원형을 추구하는 과정에 더 강력한 말레둠 지팡이를 만드는데 성공했습니다.
ITEM_20150317_000908	Chapparition Staff	채퍼리션 스태프
ITEM_20150317_000909	Arca staff	아르카 스태프
ITEM_20150317_000910	Menurut dongeng, Agailla Flurry biasa membawa tongkat semacam ini  ketika ia membangun Mage Tower.	전하는 이야기에 따르면 아가일라 플러리가 마법사의 탑을 건설하던 시절에 이런 지팡이를 사용했다고 합니다.
ITEM_20150317_000911	Raganos Horn	라가노스 혼
ITEM_20150317_000912	Habbok, Raja Iblis telah lama disegel, telah mengungkapkan rahasia dunia Iblis. Agailla Flurry menciptakan resep ini berdasarkan yang mengungkapkan informasi.	오래전 봉인된 하우벅이란 마왕이 마계의 비밀을 노출했으며 그 비밀을 바탕으로 아가일라 플러리가 이 지팡이의 제조법을 창안해냈습니다.
ITEM_20150317_000913	Light Glove	라이트 글로브
ITEM_20150317_000914	Gloves	장갑
ITEM_20150317_000915	Item ini memperbolehkan kamu memilik hidup kedua	이것이 당신에게 두 번째 생명을 줄 수도 있습니다.
ITEM_20150317_000916	Light Boots	라이트 부츠
ITEM_20150317_000917	Shoes	신발
ITEM_20150317_000918	Sebuah sepatu yang telah worn di beberapa are dan tertanam di kerajaan. Jika tidak menggunakan apa-apa, akan jadi masalah	왕국의 여러 지역과 지형에서 착용되는 신발입니다. 아무 것도 안 신으면 곤란합니다.
ITEM_20150317_000919	Light Pants	라이트 팬츠
ITEM_20150317_000920	Pants	하의
ITEM_20150317_000921	Tidak ada adventurer yang melakukan perjalanan tanpa menggunakannya.	이것도 없이 행로에 오르는 모험가는 없습니다.
ITEM_20150317_000922	Light Armor	라이트 아머
ITEM_20150317_000923	Top [Leather]	상의[가죽]
ITEM_20150317_000924	Tidak peduli dari jenis kulit apa ini dibuat selama itu melindungi pemakainya	적절한 방어력을 제공한다면 무슨 가죽으로 만들어졌는지는 물을 필요가 없습니다.
ITEM_20150317_000925	Quilted Gloves 	퀼트 글로브
ITEM_20150317_000926	Bahkan jika Material ada cahaya tetapi harganya setara dengan defense seperti produksi kulit dengan harga murah. Di dunia lain, itu punya dengan cahaya	가벼운 소재지만 저가의 가죽제품과 비슷한 방어력을 제공합니다. 즉, 가벼운 만큼 장점이 있습니다.
ITEM_20150317_000927	Quilted Boots 	퀼트 부츠
ITEM_20150317_000928	Membuat langkahmu lebih ringan.	당신의 발걸음을 가볍게 합니다.
ITEM_20150317_000929	Quilted Pants	퀼트 팬츠
ITEM_20150317_000930	Mencari sesuatu untuk digunakan di dunia berbeda, Ini dingin.	고원지대에서는 다른 옷을 구하십시오. 춥습니다.
ITEM_20150317_000931	Quilted Armor 	퀼트 아머
ITEM_20150317_000932	Ini terlihat daripada kelihatannya	보기보다는 단단합니다.
ITEM_20150317_000933	Leather Gloves	레더 글로브
ITEM_20150317_000934	Ini hanya sebuah rumor tetapi, Suply kulit telah meningkat sejak CataClysm Plant yang agung	소문이지만, 식물재앙 이후 가죽공급이 늘어났다고 합니다.
ITEM_20150317_000935	Leather Boots 	레더 부츠
ITEM_20150317_000936	Pastikan kamu mendapatkan sepasang untuk ini jika kamu berencana untuk berkelana ke Thorny Forest	가시 숲을 방문하실 예정이라면 꼭 하나 장만하십시오.
ITEM_20150317_000937	Leather Pants	레더 팬츠
ITEM_20150317_000938	Meskipun ini berat, tetapi ini meningkatkan stabilitas ke bawah badan	무겁긴 하지만, 하체에 안정감을 줍니다.
ITEM_20150317_000939	Leather Armor	레더 아머
ITEM_20150317_000940	Mudah di dekorasi dengan element	취향에 따라 장식하거나 특성을 부여하기 좋습니다.
ITEM_20150317_000941	Hard Leather Gloves	하드 레더 글로브
ITEM_20150317_000942	Kamu membutuhkan bahan dari monster jika ingin membuat kulit equipment yang lebih keras.	더 강화된 가죽갑옷을 제작하려면 몬스터로부터 나온 재료가 필요합니다.
ITEM_20150317_000943	Hard Leather Boots	하드 레더 부츠
ITEM_20150317_000944	Hal ini dapat melukai kaki pemakainya karena kekakuan.	너무 뻣뻣해 가끔 착용자의 발이 상한다고 합니다.
ITEM_20150317_000945	Hard Leather Pants	하드 레더 팬츠
ITEM_20150317_000946	Mendukung Kamu kuat.	당신을 든든히 받쳐줍니다.
ITEM_20150317_000947	Hard Leather Armor	하드 레더 아머
ITEM_20150317_000948	Tidak pernah kehilangan ketegasan berkat bahan yang digunakan.	제조 과정에서 들어가는 재료 덕분에 세월이 지나도 강인함을 잃지 않습니다.
ITEM_20150317_000949	Chain Gloves	체인 글로브
ITEM_20150317_000950	Hal bagus mengenai bahan yang lebih kuat daripada yang ditawarkan untuk improvisasi	소재가 강해져서 좋은 점은 향상의 여지가 많다는 것입니다.
ITEM_20150317_000951	Chain Boots	체인 부츠
ITEM_20150317_000952	Memiliki Ventilasi yang buruk sudah terlihat	생각보다는 통기성이 좋지 않습니다.
ITEM_20150317_000953	Chain Pants	체인 팬츠
ITEM_20150317_000954	Tidak ada yang perlu di perbaiki selama sesuatu hanya karena cincin tengah yang menghilang	중간 고리 하나가 끊어졌다고 전체를 풀어서 수리할 필요는 없습니다.
ITEM_20150317_000955	Chainmail 	체인 메일
ITEM_20150317_000956	Top [Plate]	상의[판금]
ITEM_20150317_000957	Percaya atau tidak, pembuat mengatakan ini adalah penawaran equipment untuk memproteksi armor	곧이 곧대로 믿을 필요는 없지만, 제조자는 판금 같은 방어력을 제공한다고 말합니다.
ITEM_20150317_000958	Mark Gloves	마크 글로브
ITEM_20150317_000959	Ini bahkan memiliki kelebihan beban untuk improvisasi terimakasih adalah material yang baik daripada hanya seutas Gloves	더 좋은 재료 덕분에 일반 체인 글로브에 비해 향상성이 더 좋아졌습니다.
ITEM_20150317_000960	Mark Boots	마크 부츠
ITEM_20150317_000961	Kata orang ini cukup nyaman, karena penempatan cincin yang sangat terstruktur.	고리의 맞물림 구조가 좋아서 생각보다는 발이 편하다고 합니다.
ITEM_20150317_000962	Mark Pants	마크 팬츠
ITEM_20150317_000963	Jika kamu ingin meminimalisasi luka selama pertarungan, kamu harus mampu menggunakan armor yang berat. 	전투시 부상 감소를 위해서라면 이 정도의 무게는 감당해야 합니다.
ITEM_20150317_000964	Mark Tunic	마크 튜닉
ITEM_20150317_000965	Menawarkan proteksi dan durabilitas armor	판금 수준의 내구력과 방어도를 자랑합니다.
ITEM_20150317_000966	Forest Leather Gloves	포레스트 레더 글로브
ITEM_20150317_000967	Semenjak Great Plant Cataclys banyak bahan dari monster yang digunakan untuk membuat armor. Ini adalah salah satu dari mereka	식믈재앙 이후 몬스터로부터 나온 재료들이 방어구에 이용되었는데 이 장비도 그러합니다.
ITEM_20150317_000968	Forest Leather Boots	포레스트 레더 부츠
ITEM_20150317_000969	Ada beberapa proses untuk mengekstrak magic properties dari plant monsters dan mengaplikasikannya kepada armor	식물형 몬스터에게서 마법적 속성을 밝혀서 갑옷에 적용하는 일은 진전이 있었습니다. 
ITEM_20150317_000970	Forest Leather Pants	포레스트 레더 팬츠
ITEM_20150317_000971	Plant monster juga menawarkan material kulit sebanyak monster binatang, ini merupakan contoh dari aplikasi yang praktis.	식물 몬스터에게서도 동물 못지 않은 가죽같은 외피를 얻을 수 있으며 이를 방어구에 적용한 산물입니다.
ITEM_20150317_000972	Forest Leather Armor	포레스트 레더 아머
ITEM_20150317_000973	Ini lebih ringan dari sepatu lain dengan defensive yang sama.	비슷한 방어력의 신발에 비해 가벼운 편입니다.
ITEM_20150317_000974	Grima Pants 	그리마 팬츠
ITEM_20150317_000975	Tidak buruk untuk celana yang terbuat dari kayu, bahan tidak berserat.	식물의 섬유가 아닌 목질의 재료가 들어가지만, 착용감이 나쁘지는 않습니다.
ITEM_20150317_000976	Grima Robe 	그리마 로브
ITEM_20150317_000977	Top [Cloth] 	상의[천]
ITEM_20150317_000978	Jika kamu mengharapkan defense yang  sama dengan cloth shirt, kamu akan terkejut dengan leather-like defense.	천옷 정도의 방어력을 예상했다면 가죽 이상의 방어력에 놀랄 수 있습니다. 
ITEM_20150317_000979	Veris Gloves 	베리스 글로브
ITEM_20150317_000980	Jika kamu tidak benci dengan serangga, ini merupakan jenis armor yang tidak hanya melindungi diri sendiri tetapi juga senjata.	곤충에 대한 혐오만 없다면 손의 보호는 물론 무기를 쥐는 데도 좋은 장비입니다.
ITEM_20150317_000981	Veris Boots 	베리스 부츠
ITEM_20150317_000982	Sepatu swordsman harus kokoh seperti yang satu ini. Bukan Cuma melindungi dari musuh juga untuk melindungi diri sendiri saat menjatuhkan pedang di kakinya.	검사들의 신발은 이 신발처럼 단단해야 합니다. 비단 적때문이 아니라 자기 무기가 자기 발에 떨어질 경우도 대비하는 편이 좋습니다.
ITEM_20150317_000983	Veris Pants 	베리스 팬츠
ITEM_20150317_000984	Beberapa warior percaya bahwa bahan yang digunakan untuk item ini akan menarik vengeful kin.	몇몇 검사들은 이 장비에 들어간 재료가 적의 혈육을 부를 것이라 믿습니다.
ITEM_20150317_000985	Veris Tunic 	베리스 튜닉
ITEM_20150317_000986	Peralatan yang menawarkan perlindungan unggul dari pelat baja dengan memperkuat kulit dari Monster serangga.	곤충형 몬스터의 갑피를 강화해 판금갑옷 이상의 방어력을 갖추게 한 장비입니다.
ITEM_20150317_000987	Scale Gloves 	스케일 글로브
ITEM_20150317_000988	Dipercaya memberikan kamuflase yang baik serta ketangkasan dan hindaran.	뛰어난 은신과 빠른 회피 속성을 부여한다고 믿어지고 있습니다.
ITEM_20150317_000989	Scale Boots 	스케일 부츠
ITEM_20150317_000990	Banyak memilih sepatu bot ini untuk menghindari sihir bukan pertahanan.	방어력보다는 마법회피의 능력 때문에 사람들이 택하곤 합니다.
ITEM_20150317_000991	Scale Leggings 	스케일 레깅스
ITEM_20150317_000992	Salah satu kelebihan Masa Medzio Diena adalah para perajin memiliki cara memanfaatkan bahan dari monster untuk membuat armor yang kuat.	식물재앙후 불행중 다행인 것은 몬스터의 재활용법을 발견했다는 점입니다.
ITEM_20150317_000993	Scale Mail 	스케일 메일
ITEM_20150317_000994	Beberapa bahan dari monster dapat berubah menjadi bahan yang berbeda dengan proses pemanasan. Veris Boots ini dibuat dengan metode tersebut.	어떤 몬스터의 재료는 가열 등을 통해 다른 소재로 변합니다. 이런 과정을 거쳐 지금의 편안한 베리스 부츠가 나옵니다.
ITEM_20150317_000995	Forest Pants 	포레스트 팬츠
ITEM_20150317_000996	Harap periksa apakah ada duri sebelum menggunakan untuk pertama kalinya.	처음 착용할 때 남은 가시가 있는지 확인하십시오.
ITEM_20150317_000997	Forest Robe 	포레스트 로브
ITEM_20150317_000998	Anehnya, jubah cahaya ini lebih sulit daripada kulit hewan yang belum diolah lainnya.	이 가벼운 옷은 놀랍게도 어떤 동물의 가공전의 가죽보다 단단합니다. 
ITEM_20150317_000999	Klaida Gauntlets 	클라이다 건틀릿
ITEM_20150317_001000	Swordsman suka menggunakan ini dalam pertempuran yang sebenarnya.	검사들이 실전에서 즐겨 착용하는 장비입니다.
ITEM_20150317_001001	Klaida Greaves 	클라이다 그리브
ITEM_20150317_001002	Traditional Scale Boots yang ditambahkan batu saat pembuatan nya. 	전통방식의 스케일 부츠에 핵을 추가해 강화한 신발입니다.
ITEM_20150317_001003	Klaida Skirt 	클라이다 스커트
ITEM_20150317_001004	Sebelumnya nama ini diberikan karena bentuk akhir, bukan karena material. Namun, sekarang berbeda seperti  Scale Leggings.	이전에는 이 명칭은 재료가 아니라 완성품의 모양 때문에 붙여진 이름이었습니다. 지금은 이 스케일 레깅스처럼 사정이 다릅니다.
ITEM_20150317_001005	Klaida Mail 	클라이다 메일
ITEM_20150317_001006	Karena manfaatnya dari penampilan dan bahan yang digunakan, kebanyakan Swordsman kemungkinan akan menggunakan ini setidaknya sekali dalam waktu mereka.	외양과 소재 등의 장점 때문에 대개의 검사들은 이 갑옷을 한번 정도는 이용하기 마련입니다.
ITEM_20150317_001007	Hard Veris Gloves 	하드 베리스 글로브
ITEM_20150317_001008	Meskipun tidak ada bukti kuat untuk mendukung hal ini, peralatan yang terbuat dari bahan-bahan monster diyakini sulit.	딱히 증거는 없지만, 몬스터를 바탕으로 만든 장비들은 더 나은 단단함을 지닌다고 생각됩니다.
ITEM_20150317_001009	Hard Veris Boots 	하드 베리스 부츠
ITEM_20150317_001010	Beberapa Griba bisa merasakan aroma dari kaumnya dari sepatu ini.	일부 그리바들이 이 신발에서 동족의 향취를 감지할 수 있다고 합니다.
ITEM_20150317_001011	Hard Veris Pants 	하드 베리스 팬츠
ITEM_20150317_001012	Sejak Pabrik besar Cataclysm, banyak peralatan dibuat dari bahan baru, seperti celana ini, mengganti yang tradisional.	식물재앙 이후 이 장비처럼 새로운 소재의 갑주들이 전통적인 장비를 대체하고 있습니다. 
ITEM_20150317_001013	Hard Veris Tunic 	하드 베리스 튜닉
ITEM_20150317_001014	Menurut teori, para Vubbes menemukan resep ini sebelum manusia. Sangat ringan, tetapi sangat keras.	일설에 의하면 부베족이 인간보다 먼저 이 제조법을 발견했다고 합니다. 가벼운 소재에 비해 무척 단단합니다.
ITEM_20150317_001015	Heavy Scale Gloves 	헤비 스케일 글로브
ITEM_20150317_001016	Favorit Swordsman berkat pertahanan yang besar.	괜찮은 방어력 상승 때문에 검사들이 애용합니다.
ITEM_20150317_001017	Heavy Scale Boots 	헤비 스케일 부츠
ITEM_20150317_001018	Meskipun mungkin melibatkan kaki kamu terkadang pertahanan yang disediakan sepadan dengan masalah.	가끔 착용자의 발을 얽히게 하지만 방어력에 있어서는 그만한 가치를 합니다.
ITEM_20150317_001019	Heavy Scale Leggings 	헤비 스케일 레깅스
ITEM_20150317_001020	Sampai beberapa tahun yang lalu, hanya swordsman kaya yang bisa menggunakan baju besi bergengsi ini.	몇 년 전만 해도 부유한 검사들만 착용하던 고급 무장이었습니다.
ITEM_20150317_001021	Heavy Scale Mail 	헤비 스케일 메일
ITEM_20150317_001022	Ini adalah armor yang baik yang menawarkan pertahanan yang solid dan kadang-kadang mengalihkan serangan musuh.	단단한 갑주의 역할 뿐 아니라 적의 무기를 흘려주는 일도 가끔 생기는 좋은 갑주입니다.
ITEM_20150317_001023	Regal Pants 	리갈 팬츠
ITEM_20150317_001024	Meskipun jarang terjadi, celana ini dapat menjadikan seperti batu pemakai nya.	희박한 확률이지만 가끔 사람이 석화되는 부작용이 있다고 합니다.
ITEM_20150317_001025	Regal Robe 	리갈 로브
ITEM_20150317_001026	Memiliki pertahanan dibawah rata-rata, tetapi banyak digunakan untuk Magic Evasion.	방어력은 그저 그런 수준이지만 마법회피 능력 때문에 착용하는 사람이 적지 않습니다.
ITEM_20150317_001027	Rag Pants 	래그 팬츠
ITEM_20150317_001028	Jika kamu merasa seolah-olah vitalitas kamu meningkat saat menggunakan pants ini, itu bukan cuma perasaanmu karena memang benar-benar nyata.	착용시 생명의 기운이 강해졌다고 느낀다면, 기분탓이 아닙니다. 사실이 그렇습니다.
ITEM_20150317_001029	Rag Armor 	래그 아머
ITEM_20150317_001030	Jangan dilepas selama pertempuran. Hidup mu tidak hanya dalam tubuh mu.	전투 중에 벗지 마십시오. 당신의 생명이 몸에만 있지 않습니다.
ITEM_20150317_001031	Miner's Gloves 	마이너 글로브
ITEM_20150317_001032	Miner's Boots 	마이너 부츠
ITEM_20150317_001033	Miner's Pants 	마이너 팬츠
ITEM_20150317_001034	Miner's Armor 	마이너 아머
ITEM_20150317_001035	Crude Hard Leather Gloves 	조악한 하드 레더 글로브
ITEM_20150317_001036	Crude Hard Leather Boots 	조악한 하드 레더 부츠
ITEM_20150317_001037	Crude Hard Leather Pants 	조악한 하드 레더 팬츠
ITEM_20150317_001038	Crude Hard Leather Armor 	조악한 하드 레더 아머
ITEM_20150317_001039	Crude Chain Gloves 	조악한 체인 글로브
ITEM_20150317_001040	Crude Chain Boots 	조악한 체인 부츠
ITEM_20150317_001041	Crude Chain Pants 	조악한 체인 팬츠
ITEM_20150317_001042	Crude Chain Mail 	조악한 체인 메일
ITEM_20150317_001043	Crude Steel Gloves 	조악한 스틸 체인 글로브
ITEM_20150317_001044	Crude Steel Boots 	조악한 스틸 체인 부츠
ITEM_20150317_001045	Crude Steel Pants 	조악한 스틸 체인 팬츠
ITEM_20150317_001046	Crude Steel Mail 	조악한 스틸 체인 메일
ITEM_20150317_001047	Brigandine Gloves 	브리간딘 글로브
ITEM_20150317_001048	Sering digunakan oleh mereka yang ingin tangkas dan presisi manuver.	민첩하면서 정확한 동작을 원하는 사람들이 자주 착용합니다.
ITEM_20150317_001049	Brigandine Boots	브리간딘 부츠
ITEM_20150317_001050	Setelah Kamu menggunakan ini, Kamu dapat memberitahu bahwa itu jauh lebih tenang daripada yang terlihat.	신어보면 소음이 적게 난다는 사실을 알 수 있습니다.
ITEM_20150317_001051	Brigandine Pants	브리간딘 팬츠
ITEM_20150317_001052	Mudah untuk meningkatkan, dan jika Kamu tahu bagaimana, itu dapat dimanfaatkan dalam banyak cara.	향상성이 좋고 요령을 아는 사람이라면 다양한 방법으로 활용하는 방어구입니다.
ITEM_20150317_001053	Brigandine Armor	브리간딘 아머
ITEM_20150317_001054	Pertahanan tinggi Minibun ini menjadi seperti suatu anugerah besar bagi kita setelah mati. Seperti baju besi ini.	미니번의 방어력은 죽어서는 이렇게 큰 도움이 됩니다. 
ITEM_20150317_001055	Plate Gauntlets	플레이트 건틀릿
ITEM_20150317_001056	Ini adalah peralatan yang terbaik di antara yang dibuat dengan metode Crafting.	전통적인 방식으로 만든 장비 가운데는 가장 좋은 장비에 들어갑니다.
ITEM_20150317_001057	Plate Greaves	플레이트 그리브
ITEM_20150317_001058	Dengan penemuan baru dari metode untuk memadukan tulang dan logam bersama-sama, kualitas greaves pelat biasa telah meningkat.	요즘들어 몬스터의 뼈와 금속을 융화심킬 방법을 발견하면서 이전의 플레이트 그리브보다 성능이 향상되었습니다. 
ITEM_20150317_001059	Plate Leggings	플레이트 레깅스
ITEM_20150317_001060	Metode crafting untuk peralatan ini bukanlah hal baru. Hanya saja dalam mengumpulkan bahan sangat sulit.	이 방식의 제조법은 근래의 것이 아닙니다. 다만 예전부터 재료의 수급은 어려웠습니다.
ITEM_20150317_001061	Plate Armor	플레이트 아머
ITEM_20150317_001062	Itu adalah armor dasar untuk Royal Guard sebelum Pabrik Besar Cataclysm.	식물재앙 이전만 해도 왕실근위대의 기본 갑주였습니다. 
ITEM_20150317_001063	Heavy Quilted Pants 	헤비 퀼트 팬츠
ITEM_20150317_001064	Heavy Quilted Armor 	헤비 퀼트 아머
ITEM_20150317_001065	Vubbe Pants 	부베 팬츠
ITEM_20150317_001066	Vubbe Armor 	부베 아머
ITEM_20150317_001067	Panto Pants 	판토 팬츠
ITEM_20150317_001068	Panto Armor 	판토 아머
ITEM_20150317_001069	Acolyte Gloves  	어콜라이트 글로브
ITEM_20150317_001070	Meskipun tidak kokoh seperti baju besi, itu ringan dan nyaman.	갑옷과 같은 단단함은 없지만 가볍고 편안합니다.
ITEM_20150317_001071	Acolytes Boots	어콜라이트 부츠
ITEM_20150317_001072	Acolytes Pants	어콜라이트 팬츠
ITEM_20150317_001073	Acolytes Robe	어콜라이트 로브
ITEM_20150317_001074	Steel Chain Gloves	스틸 체인 글로브
ITEM_20150317_001075	Steel Chain Boots	스틸 체인 부츠
ITEM_20150317_001076	Steel Chain Pants	스틸 체인 팬츠
ITEM_20150317_001077	Steel Chainmail	스틸 체인 메일
ITEM_20150317_001078	Enhanced Leather Armor	강화 레더 아머
ITEM_20150317_001079	Dunkel Quilted Gloves 	던켈 퀼트 글로브
ITEM_20150317_001080	Dunkel Quilted Boots 	던켈 퀼트 부츠
ITEM_20150317_001081	Dunkel Quilted Pants 	던켈 퀼트 팬츠
ITEM_20150317_001082	Dunkel Quilted Armor 	던켈 퀼트 아머
ITEM_20150317_001083	Dunkel Cotton Gloves 	던켈 코튼 글로브
ITEM_20150317_001084	Spellcasters' favorite equipment.	주문을 사용하는 직종들이 즐겨 착용합니다.
ITEM_20150317_001085	Dunkel Cotton Boots	던켈 코튼 부츠
ITEM_20150317_001086	Dunkel Cotton Pants	던켈 코튼 팬츠
ITEM_20150317_001087	Hal ini diyakini untuk memberikan pertahanan sihir yang luar biasa.	뛰어난 마법 방어력 속성을 부여한다고 믿어지고 있습니다.
ITEM_20150317_001088	Dunkel Cotton Robe	던켈 코튼 로브
ITEM_20150317_001089	Orang-orang masih memilih jubah ini untuk pertahanan sihir.	마법 방어력의 능력 때문에 사람들이 택하곤 합니다.
ITEM_20150317_001090	Dunkel Hard Leather Gloves	던켈 하드 레더 글로브
ITEM_20150317_001091	Dunkel Hard Leather Boots	던켈 하드 레더 부츠
ITEM_20150317_001092	Dunkel Hard Leather Pants	던켈 하드 레더 팬츠
ITEM_20150317_001093	Dunkel Hard Leather Armor	던켈 하드 레더 아머
ITEM_20150317_001094	Dunkel Ring Gloves	던켈 링 글로브
ITEM_20150317_001095	Dunkel Ring Boots	던켈 링 부츠
ITEM_20150317_001096	Dunkel Ring Pants	던켈 링 팬츠
ITEM_20150317_001097	Dunkel Ring Mail	던켈 링 메일
ITEM_20150317_001098	Ring Gloves	링 글로브
ITEM_20150317_001099	Ring Boots	링 부츠
ITEM_20150317_001100	Ring Pants	링 팬츠
ITEM_20150317_001101	Ring Mail	링 메일
ITEM_20150317_001102	Finger	손가락
ITEM_20150317_001103	Kabra Boots	카브라 부츠
ITEM_20150317_001104	Crimson Leather Armor	크림슨 레더 아머
ITEM_20150317_001105	Pokubu Armor	포쿠부 아머
ITEM_20150317_001106	Carpenter Gloves	카펜터 글로브
ITEM_20150317_001107	Tenet Chain Pants	테넷 체인 팬츠
ITEM_20150317_001108	Tenet Chainmail	테넷 체인 메일
ITEM_20150317_001109	Zalia Leather Gloves	잘리아 레더 글로브
ITEM_20150317_001110	Zalia Leather Boots	잘리아 레더 부츠
ITEM_20150317_001111	Zalia Leather Pants	잘리아 레더 팬츠
ITEM_20150317_001112	Zalia Leather Armor	잘리아 레더 아머
ITEM_20150317_001113	Proba Gloves	프로바 글로브
ITEM_20150317_001114	Proba Robe	프로바 로브
ITEM_20150317_001115	Studded Gloves	스터디드 글로브
ITEM_20150317_001116	Studded Boots	스터디드 부츠
ITEM_20150317_001117	Studded Pants	스터디드 팬츠
ITEM_20150317_001118	Studded Armor	스터디드 아머
ITEM_20150317_001119	Insect Gauntlets	인섹트 건틀릿
ITEM_20150317_001120	Insect Greaves	인섹트 그리브
ITEM_20150317_001121	Insect Skirt	인섹트 스커트
ITEM_20150317_001122	Insect Mail	인섹트 메일
ITEM_20150317_001123	Protas Boots	프로타스 부츠
ITEM_20150317_001124	Protas Trousers	프로타스 트라우저
ITEM_20150317_001125	Red Veris Gloves	레드 베리스 글로브
ITEM_20150317_001126	Red Veris Tunic	레드 베리스 튜닉
ITEM_20150317_001127	Light Plate Leggings	라이트 플레이트 레깅스
ITEM_20150317_001128	Light Plate Armor	라이트 플레이트 아머
ITEM_20150317_001129	Heavy Glimmer Gloves 	헤비 그리마 글로브
ITEM_20150317_001130	Heavy Glimmer Boots 	헤비 그리마 부츠
ITEM_20150317_001131	Heavy Glimmer Robe 	헤비 그리마 로브
ITEM_20150317_001132	Pokubon Leather Pants	포쿠본 레더 팬츠
ITEM_20150317_001133	Pokubon Leather Armor	포쿠본 레더 아머
ITEM_20150317_001134	Drake Leather Gloves	드레이크 레더 글로브
ITEM_20150317_001135	Drake Leather Boots	드레이크 레더 부츠
ITEM_20150317_001136	Drake Leather Leggings	드레이크 레더 레깅스
ITEM_20150317_001137	Drake Leather Tunic	드레이크 레더 튜닉
ITEM_20150317_001138	Silver Plate Gauntlets	실버 플레이트 건틀릿
ITEM_20150317_001139	Silver Plate Greaves	실버 플레이트 그리브
ITEM_20150317_001140	Silver Plate Leggings	실버 플레이트 레깅스
ITEM_20150317_001141	Silver Plate Armor	실버 플레이트 아머
ITEM_20150317_001142	Wild Leather Gloves	와일드 레더 글로브
ITEM_20150317_001143	Heavy boots	헤비 부츠
ITEM_20150317_001144	Capria Gloves 	카프리아 글로브
ITEM_20150317_001145	Follower Leather Armor	추종자의 레더 아머
ITEM_20150317_001146	Mummyghast Mail 	머미가스트 메일
ITEM_20150317_001147	Vejo Boots 	베조 부츠
ITEM_20150317_001148	Mien Boots 	미엔 부츠
ITEM_20150317_001149	Archon Hands 	아콘 핸즈
ITEM_20150317_001150	Ini adalah sarung tangan yang digunakan oleh Archon.	아콘이 사용하던 장갑입니다.
ITEM_20150317_001151	Ravinepede Boots 	라바인피드 부츠
ITEM_20150317_001152	Boots dilapisi dengan  racun Ravinepede. Memberikan perlawanan terhadap racun.	라바인피드의 독을 입힌 장화입니다. 독에 대한 강한 내성을 제공합니다.
ITEM_20150317_001153	Nepenthes Gloves 	네펜더스 글로브
ITEM_20150317_001154	Sarung tangan yang terbuat dari serat Nepenthes.	네펜터스의 줄기로 만든 장갑입니다.
ITEM_20150317_001155	Shnayim Greaves 	쉬나임 그리브
ITEM_20150317_001156	Fragmen Schnaimm digunakan untuk kerajinan sepatu ini.	쉬나임 파편을 덧댄 신발입니다.
ITEM_20150317_001157	Cafrisun Gloves 	카프리선 글로브
ITEM_20150317_001158	Ini jenis peralatan sihir belum pernah terjadi sebelumnya yang menimbulkan kecurigaan bahwa baru-baru ini suku ini sedang disponsori oleh suatu entitas yang kuat.	이런 전례없는 마법 장비는 이 족속이 근래에 강력한 세력의 후원을 받고 있다는 의혹을 키우고 있습니다.
ITEM_20150317_001159	Cafrisun Boots 	카프리선 부츠
